datetime;loading_MW;unloading_MW;YearlyEfc_counter;efc_per_timestep;curren state of health;intraday_price_EUR_per_MWh
02.06.2027 05:30;0;0;1.684.771;0;1;1.398.810.876
02.06.2027 05:45;0;0;1.684.771;0;1;1.381.712.986
02.06.2027 06:00;0;0;1.684.771;0;1;1.482.800.025
02.06.2027 06:15;0;254;1.751.709;0.066938;1;2.096.748.855
02.06.2027 06:30;0;0;1.751.709;0;1;1.495.363.597
02.06.2027 06:45;0;0;1.751.709;0;1;1.276.459.216
02.06.2027 07:00;0;0;1.751.709;0;1;9.118.791.551
02.06.2027 07:15;249;0;1.808.917;0.057208;1;1.733.858.302
02.06.2027 07:30;0;0;1.808.917;0;1;5.431.289.053
02.06.2027 07:45;0;0;1.808.917;0;1;5.308.008.636
02.06.2027 08:00;0;0;1.808.917;0;1;7.195.760.621
02.06.2027 08:15;195.490.574;0;1.853.831;0.044914;1;2.640.204.323
02.06.2027 08:30;0;0;1.853.831;0;1;5.805.250.944
02.06.2027 08:45;0;0;1.853.831;0;1;8.224.468.672
02.06.2027 09:00;249;0;1.911.038;0.057208;1;-1.520.926.314
02.06.2027 09:15;0;0;1.911.038;0;1;390.528.223
02.06.2027 09:30;0;0;1.911.038;0;1;3.152.337.858
02.06.2027 09:45;249;0;1.968.246;0.057208;1;2.362.866.596
02.06.2027 10:00;0;0;1.968.246;0;1;6.496.458.314
02.06.2027 10:15;0;254;2.035.184;0.066938;1;1.731.915.517
02.06.2027 10:30;0;0;2.035.184;0;1;102.381.145
02.06.2027 10:45;0;0;2.035.184;0;1;1.146.661.597
02.06.2027 11:00;0;0;2.035.184;0;1;744.870.983
02.06.2027 11:15;0;0;2.035.184;0;1;4.193.383.631
02.06.2027 11:30;0;0;2.035.184;0;1;7.180.236.779
02.06.2027 11:45;0;0;2.035.184;0;1;8.326.710.319
02.06.2027 12:00;0;0;2.035.184;0;1;762.913.186
02.06.2027 12:15;0;0;2.035.184;0;1;853.656.796
02.06.2027 12:30;0;0;2.035.184;0;1;4.368.705.563
02.06.2027 12:45;0;0;2.035.184;0;1;5.751.593.899
02.06.2027 13:00;249;0;2.092.391;0.057208;1;-7.859.947.609
02.06.2027 13:15;249;0;2.149.599;0.057208;1;3.039.849.922
02.06.2027 13:30;249;0;2.206.807;0.057208;1;9.526.564.352
02.06.2027 13:45;249;0;2.264.014;0.057208;1;2.652.293.146
02.06.2027 14:00;249;0;2.321.222;0.057208;1;-2.397.000.151
02.06.2027 14:15;3.114.316;0;2.328.377;0.007155;1;2.985.394.331
02.06.2027 14:30;0;0;2.328.377;0;1;8.002.864.443
02.06.2027 14:45;0;0;2.328.377;0;1;9.131.708.881
02.06.2027 15:00;0;0;2.328.377;0;1;8.926.716.269
02.06.2027 15:15;249;0;2.385.585;0.057208;1;1.737.834.904
02.06.2027 15:30;0;0;2.385.585;0;1;5.461.768.652
02.06.2027 15:45;0;0;2.385.585;0;1;1.247.710.379
02.06.2027 16:00;0;0;2.385.585;0;1;8.977.588.195
02.06.2027 16:15;0;0;2.385.585;0;1;9.705.927.415
02.06.2027 16:30;0;0;2.385.585;0;1;1.150.910.949
02.06.2027 16:45;0;254;2.452.523;0.066938;1;1.353.199.219
02.06.2027 17:00;0;0;2.452.523;0;1;1.039.575.663
02.06.2027 17:15;0;0;2.452.523;0;1;8.065.410.362
02.06.2027 17:30;0;254;251.946;0.066938;1;140.676.408
02.06.2027 17:45;0;0;251.946;0;1;1.170.084.254
02.06.2027 18:00;0;0;251.946;0;1;8.244.357.443
02.06.2027 18:15;0;0;251.946;0;1;1.265.163.178
02.06.2027 18:30;0;8.236.129;2.541.165;0.021705;1;1.268.488.728
02.06.2027 18:45;0;254;2.608.103;0.066938;1;1.409.937.525
02.06.2027 19:00;0;0;2.608.103;0;1;9.615.457.708
02.06.2027 19:15;0;0;2.608.103;0;1;1.175.955.244
02.06.2027 19:30;0;0;2.608.103;0;1;1.047.352.103
02.06.2027 19:45;0;0;2.608.103;0;1;1.254.984.875
02.06.2027 20:00;0;0;2.608.103;0;1;7.702.243.257
02.06.2027 20:15;0;0;2.608.103;0;1;1.047.186.632
02.06.2027 20:30;0;0;2.608.103;0;1;8.867.130.619
02.06.2027 20:45;0;0;2.608.103;0;1;1.218.887.794
02.06.2027 21:00;0;0;2.608.103;0;1;1.237.608.128
02.06.2027 21:15;0;0;2.608.103;0;1;1.267.823.848
02.06.2027 21:30;0;0;2.608.103;0;1;1.184.452.335
02.06.2027 21:45;0;0;2.608.103;0;1;1.168.055.046
02.06.2027 22:00;0;0;2.608.103;0;1;1.017.507.655
02.06.2027 22:15;249;0;2.665.311;0.057208;1;5.921.222.296
02.06.2027 22:30;0;0;2.665.311;0;1;8.647.168.422
02.06.2027 22:45;0;254;2.732.249;0.066938;1;1.411.073.697
02.06.2027 23:00;0;254;2.799.187;0.066938;1;1.271.009.969
02.06.2027 23:15;0;254;2.866.124;0.066938;1;1.559.356.811
02.06.2027 23:30;0;254;2.933.062;0.066938;1;1.490.882.286
02.06.2027 23:45;0;254;3;0.066938;1;1.397.163.081
03.06.2027 00:00;0;0;3;0;0.999682192;1.828.136.375
03.06.2027 00:15;0;0;3;0;0.999682192;1.216.364.247
03.06.2027 00:30;0;0;3;0;0.999682192;1.216.289.348
03.06.2027 00:45;0;0;3;0;0.999682192;1.103.771.913
03.06.2027 01:00;0;0;3;0;0.999682192;1.077.847.258
03.06.2027 01:15;42.351.227;0;3.009.733;0.009733;0.999682192;7.038.448.052
03.06.2027 01:30;249;0;3.066.959;0.057226;0.999682192;5.455.523.163
03.06.2027 01:45;0;0;3.066.959;0;0.999682192;7.517.050.687
03.06.2027 02:00;0;0;3.066.959;0;0.999682192;7.266.317.359
03.06.2027 02:15;0;0;3.066.959;0;0.999682192;8.979.994.206
03.06.2027 02:30;0;0;3.066.959;0;0.999682192;1.159.622.484
03.06.2027 02:45;0;254;3.133.918;0.066959;0.999682192;1.588.058.404
03.06.2027 03:00;0;0;3.133.918;0;0.999682192;1.165.596.029
03.06.2027 03:15;0;0;3.133.918;0;0.999682192;9.716.129.916
03.06.2027 03:30;0;0;3.133.918;0;0.999682192;7.888.583.521
03.06.2027 03:45;0;0;3.133.918;0;0.999682192;9.043.876.798
03.06.2027 04:00;0;0;3.133.918;0;0.999682192;7.754.167.236
03.06.2027 04:15;0;0;3.133.918;0;0.999682192;6.923.874.445
03.06.2027 04:30;0;0;3.133.918;0;0.999682192;6.916.306.111
03.06.2027 04:45;0;0;3.133.918;0;0.999682192;815.144.946
03.06.2027 05:00;0;0;3.133.918;0;0.999682192;111.895.064
03.06.2027 05:15;0;0;3.133.918;0;0.999682192;1.025.235.583
03.06.2027 05:30;0;0;3.133.918;0;0.999682192;1.063.043.029
03.06.2027 05:45;0;0;3.133.918;0;0.999682192;1.147.457.263
03.06.2027 06:00;0;0;3.133.918;0;0.999682192;1.246.490.088
03.06.2027 06:15;0;0;3.133.918;0;0.999682192;1.066.331.014
03.06.2027 06:30;0;0;3.133.918;0;0.999682192;1.021.942.758
03.06.2027 06:45;0;0;3.133.918;0;0.999682192;1.099.570.151
03.06.2027 07:00;0;0;3.133.918;0;0.999682192;1.025.783.849
03.06.2027 07:15;0;0;3.133.918;0;0.999682192;9.741.827.452
03.06.2027 07:30;0;0;3.133.918;0;0.999682192;9.855.426.209
03.06.2027 07:45;0;0;3.133.918;0;0.999682192;1.051.871.555
03.06.2027 08:00;0;0;3.133.918;0;0.999682192;6.510.497.989
03.06.2027 08:15;0;0;3.133.918;0;0.999682192;8.383.056.843
03.06.2027 08:30;249;0;3.191.144;0.057226;0.999682192;-4.825.458.206
03.06.2027 08:45;249;0;324.837;0.057226;0.999682192;335.284.916
03.06.2027 09:00;9.749.983;0;3.250.611;0.002241;0.999682192;5.634.505.965
03.06.2027 09:15;249;0;3.307.836;0.057226;0.999682192;3.666.643.487
03.06.2027 09:30;249;0;3.365.062;0.057226;0.999682192;351.186.253
03.06.2027 09:45;0;0;3.365.062;0;0.999682192;6.377.465.621
03.06.2027 10:00;0;0;3.365.062;0;0.999682192;6.028.627.418
03.06.2027 10:15;0;0;3.365.062;0;0.999682192;7.582.911.786
03.06.2027 10:30;0;0;3.365.062;0;0.999682192;6.735.393.199
03.06.2027 10:45;249;0;3.422.288;0.057226;0.999682192;5.214.585.573
03.06.2027 11:00;0;0;3.422.288;0;0.999682192;6.558.055.887
03.06.2027 11:15;0;0;3.422.288;0;0.999682192;6.455.372.908
03.06.2027 11:30;0;0;3.422.288;0;0.999682192;6.573.447.215
03.06.2027 11:45;0;0;3.422.288;0;0.999682192;8.885.606.664
03.06.2027 12:00;0;254;3.489.247;0.066959;0.999682192;1.465.140.963
03.06.2027 12:15;249;0;3.546.473;0.057226;0.999682192;2.128.534.014
03.06.2027 12:30;249;0;3.603.699;0.057226;0.999682192;5.607.022.357
03.06.2027 12:45;0;0;3.603.699;0;0.999682192;1.069.472.426
03.06.2027 13:00;0;0;3.603.699;0;0.999682192;7.590.491.643
03.06.2027 13:15;0;0;3.603.699;0;0.999682192;9.257.436.793
03.06.2027 13:30;249;0;3.660.925;0.057226;0.999682192;5.487.289.885
03.06.2027 13:45;0;0;3.660.925;0;0.999682192;5.763.927.011
03.06.2027 14:00;0;0;3.660.925;0;0.999682192;8.816.173.422
03.06.2027 14:15;0;0;3.660.925;0;0.999682192;752.961.426
03.06.2027 14:30;0;0;3.660.925;0;0.999682192;1.055.118.979
03.06.2027 14:45;0;245.680.118;3.725.691;0.064766;0.999682192;1.119.840.103
03.06.2027 15:00;0;0;3.725.691;0;0.999682192;7.650.999.137
03.06.2027 15:15;249;0;3.782.916;0.057226;0.999682192;3.973.557.407
03.06.2027 15:30;249;0;3.840.142;0.057226;0.999682192;4.905.732.326
03.06.2027 15:45;0;0;3.840.142;0;0.999682192;7.984.541.653
03.06.2027 16:00;0;0;3.840.142;0;0.999682192;5.768.426.759
03.06.2027 16:15;249;0;3.897.368;0.057226;0.999682192;433.989.911
03.06.2027 16:30;0;194.659.941;3.948.684;0.051316;0.999682192;119.769.231
03.06.2027 16:45;0;0;3.948.684;0;0.999682192;9.878.955.109
03.06.2027 17:00;0;0;3.948.684;0;0.999682192;1.172.629.694
03.06.2027 17:15;0;0;3.948.684;0;0.999682192;1.125.635.617
03.06.2027 17:30;0;0;3.948.684;0;0.999682192;1.193.476.029
03.06.2027 17:45;0;0;3.948.684;0;0.999682192;1.140.001.048
03.06.2027 18:00;0;0;3.948.684;0;0.999682192;1.027.154.976
03.06.2027 18:15;0;0;3.948.684;0;0.999682192;1.104.284.342
03.06.2027 18:30;0;0;3.948.684;0;0.999682192;1.074.255.756
03.06.2027 18:45;0;0;3.948.684;0;0.999682192;1.061.699.673
03.06.2027 19:00;22.328.509;0;4;0.051316;0.999682192;6.014.072.664
03.06.2027 19:15;0;0;4;0;0.999682192;9.101.133.642
03.06.2027 19:30;0;0;4;0;0.999682192;9.167.527.105
03.06.2027 19:45;0;118.680.118;4.031.286;0.031286;0.999682192;1.381.246.303
03.06.2027 20:00;0;0;4.031.286;0;0.999682192;1.325.505.892
03.06.2027 20:15;0;0;4.031.286;0;0.999682192;1.408.265.532
03.06.2027 20:30;0;254;4.098.245;0.066959;0.999682192;1.778.158.637
03.06.2027 20:45;0;0;4.098.245;0;0.999682192;1.275.015.379
03.06.2027 21:00;0;0;4.098.245;0;0.999682192;1.573.250.143
03.06.2027 21:15;0;0;4.098.245;0;0.999682192;1.553.493.887
03.06.2027 21:30;0;0;4.098.245;0;0.999682192;1.449.571.028
03.06.2027 21:45;0;0;4.098.245;0;0.999682192;1.268.428.808
03.06.2027 22:00;0;0;4.098.245;0;0.999682192;122.048.604
03.06.2027 22:15;0;254;4.165.204;0.066959;0.999682192;1.697.912.173
03.06.2027 22:30;0;254;4.232.164;0.066959;0.999682192;1.723.718.025
03.06.2027 22:45;0;0;4.232.164;0;0.999682192;1.494.695.261
03.06.2027 23:00;0;0;4.232.164;0;0.999682192;1.217.813.846
03.06.2027 23:15;0;0;4.232.164;0;0.999682192;1.217.770.059
